id;Created Time;Nature operation;Type Co-emprunteur;Reste �� vivre mensuel;Taux d'apport;Revenus du foyer;Taux d'endettement;Immobilier;Apport global;Stage;d_eligible;instruit;Type de contrat;Profession;Domaine;age;civility;nb_enfants_charge;situation_familiale;regionName
3582;24/01/2019 12:23;--Achat d'une maison;Avec votre conjoint;3628.0;71.43;4499.9;19.38;238000.0;170000.0;eligible;1;0;;Profession liberale;Autre;55.0;Mme;1.0;Marie;Nord-Pas-de-Calais-Picardie
7533;07/04/2018 12:00;--Achat d'un appartement;Seul(e);1848.0;16.0;2500.0;26.1;125000.0;20000.0;pre-qualified;0;0;;;;;M;;;Auvergne-Rh̫ne-Alpes
3454;29/05/2019 13:28;--Achat d'un appartement;Seul(e);1301.0;13.51;2274.09;42.77;148000.0;20000.0;pre-qualified;0;0;CDI;Employe;Immobilier;25.0;Mme;0.0;Celibataire;Ile-de-France
1346;07/01/2019 15:11;--Achat d'un appartement;Seul(e);1615.0;8.0;3000.0;46.2;250000.0;20000.0;pre-qualified;0;0;CDI;Cadre superieur;Informatique;33.0;Mlle;0.0;Celibataire;Ile-de-France
4060;30/04/2019 21:59;--Achat d'un appartement;Seul(e);3383.0;14.0;5000.0;32.34;250000.0;35000.0;pre-qualified;0;0;;;;;M;;;Auvergne-Rh̫ne-Alpes
5218;14/05/2018 22:43;--Achat d'une maison;Avec votre conjoint;3707.0;40.0;4399.18;15.73;180000.0;72000.0;cancelled;1;0;CDI;Cadre moyen;Administration;44.0;M;3.0;Marie;Nord-Pas-de-Calais-Picardie
5862;29/09/2018 11:30;--Achat d'une maison;Avec votre conjoint;-320.0;28.57;1222.3;126.74;350000.0;100000.0;pre-qualified;0;0;CDI;Cadre moyen;Autre;39.0;M;3.0;Marie;Auvergne-Rh̫ne-Alpes
7185;04/02/2019 23:08;--Achat d'un appartement;Seul(e);1689.0;27.78;2500.0;32.45;180000.0;50000.0;pre-qualified;0;0;CDI;Cadre moyen;Autre;33.0;M;1.0;Marie;Alsace-Champagne-Ardenne-Lorraine
7763;05/07/2018 11:00;--Achat d'un appartement;Seul(e);3404.0;0.0;4000.0;14.9;100000.0;0.0;pre-qualified;0;0;;;;25.0;Mlle;;;Ile-de-France
6250;06/02/2019 23:18;--Achat d'une maison;Avec votre conjoint;-383.0;69.77;770.83;115382.92;430000.0;300000.0;pre-qualified;0;0;CDI;Ouvrier;Commerce;40.0;Mme;4.0;Marie;Ile-de-France
5243;25/02/2018 12:19;--Achat d'une maison;Avec votre conjoint;1657.0;20.0;2249.21;26.32;95000.0;19000.0;eligible;1;0;CDI;Technicien;Services aux entreprises;40.0;M;3.0;Marie;Nord-Pas-de-Calais-Picardie
1593;04/10/2018 17:36;--Achat d'un appartement;Seul(e);2276.0;6.94;3000.0;24.16;72000.0;5000.0;pre-qualified;0;0;;;;;M;;;Auvergne-Rh̫ne-Alpes
7382;09/06/2019 12:33;--Achat d'un appartement;Seul(e);5215.0;15.0;6500.0;19.78;200000.0;30000.0;pre-qualified;0;0;;;;;M;;;Ile-de-France
5857;10/04/2018 12:42;--Achat d'un appartement;Seul(e);842.0;22.22;4500.0;81.3;450000.0;100000.0;pre-qualified;0;0;;;;;Mme;;;
96;03/04/2019 06:55;--Achat d'un appartement;Seul(e);1681.0;71.88;2100.79;19.98;160000.0;115000.0;cancelled;1;0;CDI;Technicien;B̢timent;24.0;M;0.0;Celibataire;Ile-de-France
6257;05/08/2019 09:52;--Achat d'un appartement;Seul(e);1572.0;25.0;2500.0;37.15;200000.0;50000.0;pre-qualified;0;0;;;;;M;;;Auvergne-Rh̫ne-Alpes
6782;20/04/2019 13:23;--Achat d'une maison;Avec votre conjoint;2613.0;20.0;3831.5;31.8;200000.0;40000.0;eligible;1;0;CDI;Technicien;Industrie;26.0;Mme;0.0;Marie;Auvergne-Rh̫ne-Alpes
4143;14/02/2018 20:07;--Achat d'un appartement;Seul(e);1794.0;14.29;4000.0;55.17;350000.0;50000.0;pre-qualified;0;0;;;;;Mme;;;Ile-de-France
4169;10/10/2018 10:06;--Achat d'un appartement;Seul(e);1959.0;4.33;4089.45;57.31;300000.0;13000.0;pre-qualified;0;0;CDI;Cadre superieur;Informatique;30.0;Mlle;0.0;Celibataire;Nord-Pas-de-Calais-Picardie
5664;15/07/2019 15:11;--Achat d'une maison;Avec votre conjoint;3258.0;16.67;4776.39;31.79;300000.0;50000.0;pre-accorded;1;0;CDI;Employe;Fonction Publique;43.0;Mme;3.0;Marie;Provence-Alpes-C̫te d'Azur
942;05/04/2018 21:02;--Achat d'une maison;Avec votre conjoint;-1250.0;6.67;833.45;250.11;300000.0;20000.0;pre-qualified;0;0;CDD;Cadre moyen;Sante;25.0;Mme;0.0;Marie;Ile-de-France
6368;13/05/2018 11:40;--Achat d'une maison;Avec votre conjoint;3067.0;29.41;3999.44;23.31;170000.0;50000.0;eligible;1;0;non salarie;Entrepreneur individuel;B̢timent;29.0;M;1.0;Marie;Alsace-Champagne-Ardenne-Lorraine
111;15/04/2019 12:00;--Achat d'une maison;Avec votre conjoint;1123.0;28.75;1579.26;28.88;80000.0;23000.0;validated;1;1;CDI;Employe;B̢timent;45.0;M;1.0;Marie;Ile-de-France
3481;28/06/2019 00:13;;Seul(e);;0.0;0.0;;;;pre-qualified;0;0;;;;45.0;M;2.0;Marie;Auvergne-Rh̫ne-Alpes
1363;25/06/2019 00:25;--Achat d'une maison;Avec votre conjoint;-1121.0;0.0;0.72;112172.16;150000.0;;pre-qualified;0;0;CDI;Entrepreneur individuel;Transport;37.0;M;5.0;Marie;Nord-Pas-de-Calais-Picardie
